Sale_ID,Sale_Date,Customer_Name,Customer_Age_Group,Gender,City,State,Item_Name,Category,Original_Price,Discount_Percent,Discounted_Price,Quantity,Payment_Mode,Profit
BF00001,20-08-2024,Nancy Hamilton,46-60,Other,Littleberg,Georgia,How,Toys,4458,42,2585.64,4,UPI,306.35
BF00002,15-09-2024,Jason Cunningham,26-35,Male,Lovemouth,Idaho,Mean,Home Appliances,37309,78,8207.98,4,Debit Card,1605.82
BF00003,13-04-2024,Rebecca Nelson,36-45,Male,Kathrynchester,Arkansas,Also,Electronics,39985,28,28789.2,4,Credit Card,2097.83
BF00004,27-09-2024,Jessica Hull,46-60,Female,New Timothy,Arkansas,Water,Clothing,3746,68,1198.72,1,Credit Card,137.6
BF00005,24-10-2023,Daniel Barnett,60+,Male,Snyderhaven,Arizona,Training,Home Appliances,24030,53,11294.1,1,UPI,2058.74
BF00006,10-05-2024,William Meyer,26-35,Female,North Madison,Iowa,Garden,Electronics,27093,55,12191.85,2,Debit Card,3019.23
BF00007,14-03-2024,Michael Santiago,36-45,Male,Walterfurt,Arizona,Nothing,Beauty,38309,16,32179.56,3,Debit Card,2155.69
BF00008,24-08-2024,Brandi Savage,18-25,Other,Travisport,Wisconsin,Perform,Toys,10383,62,3945.54,3,Credit Card,847
BF00009,10-06-2024,Kendra Krause,46-60,Other,Silvaside,Vermont,Story,Beauty,36114,11,32141.46,2,UPI,4343.94
BF00010,22-01-2024,Travis Camacho,18-25,Female,Susanfort,Kansas,Personal,Toys,44386,32,30182.48,4,UPI,2808.9
BF00011,29-12-2023,Adrian Webb,46-60,Female,Mollystad,Wisconsin,Management,Home Appliances,3151,62,1197.38,3,Credit Card,191.94
BF00012,19-12-2023,Gary Pace,36-45,Other,North Davidside,Missouri,Yeah,Clothing,5029,19,4073.49,1,Cash,673.85
BF00013,19-06-2024,Virginia Beck,26-35,Female,New Rebecca,Colorado,Sometimes,Toys,10776,15,9159.6,4,Debit Card,2170.75
BF00014,22-10-2023,Michael Hernandez,60+,Male,Andrewmouth,South Carolina,Than,Sports,9230,20,7384,2,Credit Card,619.64
BF00015,05-09-2024,Joe Bell,46-60,Female,Scottbury,New Jersey,Catch,Beauty,5874,26,4346.76,4,Credit Card,808.73
BF00016,28-12-2023,Scott Mccarty,26-35,Female,New Bernard,California,Subject,Clothing,8614,15,7321.9,2,Cash,1001.86
BF00017,30-04-2024,Cassandra Nixon,60+,Other,South Christopherbury,Minnesota,Else,Home Appliances,17976,60,7190.4,3,Cash,1052.66
BF00018,26-10-2023,Sandra Knight,46-60,Other,Smithfurt,Minnesota,Turn,Clothing,49287,33,33022.29,2,Gift Card,2920.02
BF00019,31-08-2024,Amanda Patterson,60+,Female,Port Williamton,Arkansas,Huge,Toys,34941,63,12928.17,4,Gift Card,3207.53
BF00020,29-05-2024,Ryan Washington,18-25,Male,Michelleburgh,Florida,Major,Beauty,30866,14,26544.76,3,Cash,1374.44
BF00021,20-10-2023,Paula Miller,46-60,Other,New Gregory,Mississippi,Her,Toys,26808,78,5897.76,3,Gift Card,824.64
BF00022,20-09-2024,Matthew Moreno,46-60,Female,New Dennis,Colorado,Friend,Beauty,28110,11,25017.9,1,Gift Card,5173.71
BF00023,03-01-2024,Regina Stewart,18-25,Other,South Jameschester,Pennsylvania,Ball,Toys,19268,69,5973.08,2,Credit Card,457.91
BF00024,01-11-2023,Joseph Valentine,36-45,Female,North Patriciaburgh,Idaho,Stuff,Electronics,17906,15,15220.1,2,Gift Card,2210.99
BF00025,03-09-2024,Sean Mcdonald,46-60,Female,Simpsonfurt,Iowa,Writer,Sports,13913,43,7930.41,1,Gift Card,1828.34
BF00026,25-08-2024,Frank Swanson,26-35,Other,Port Crystal,North Dakota,Heavy,Home Appliances,46641,64,16790.76,3,Credit Card,3836.91
BF00027,17-08-2024,Michele Huerta,46-60,Female,Lake Willie,Wyoming,Congress,Sports,31570,49,16100.7,3,UPI,1881.77
BF00028,02-12-2023,Christian Stewart,36-45,Other,Andersonshire,Rhode Island,Product,Home Appliances,5000,31,3450,1,Cash,831.75
BF00029,29-01-2024,Valerie Malone,60+,Female,West Kristie,Oklahoma,Similar,Electronics,28957,23,22296.89,3,Credit Card,1266.15
BF00030,30-11-2023,Sabrina Walters,46-60,Female,Brentmouth,Oregon,Yard,Electronics,11663,30,8164.1,1,Credit Card,1276.85
BF00031,23-07-2024,Caitlin Stephens,60+,Male,Floresburgh,California,Whom,Home Appliances,28550,42,16559,4,Cash,1357.79
BF00032,13-09-2024,Jerome Pena,18-25,Female,Port Annland,South Dakota,Fear,Toys,45512,56,20025.28,3,UPI,4743.1
